Name,Position,University,Place,Code
Guillermo Manuel Zamora Poblete,Académico,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11703
Pilar Cox Vial,,"PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE, FACULTAD DE EDUCACIÓN","Santiago, Chile",11704
Raquel Beatriz Jiménez Celsi,,UNIVERSIDAD ANDRES BELLO,"Santiago, Chile",11705
Iván Alejandro Armijo Rodríguez,,UNIVERSIDAD GABRIELA MISTRAL,"Santiago, Chile",11706
Luisa Schonhaut Berman,Medico coordinador,Clinica Alemana,"santiago, Chile",11707
Carlos Eduardo Becerra Flores,,MINISTERIO DE SALUD,"Santiago, Chile",11708
Heather Andrea Strain Henkes,,MINISTERIO DE SALUD,"Santiago, Chile",11709
Fernando René Altermatt Couratier,Profesor Asociado,"DIVISIÓN DE ANESTESIOLOGÍA, ESCUELA DE MEDICINA, PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE","Santiago, Chile",11710
Ghislaine Echevarría,,HOSPITAL CLINICO PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,"Santiago, Chile",11711
María Francisca Elgueta Le Beuffe,Médico Anestesiólogo,HOSPITAL CLINICO PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,"Santiago, Chile",11712
George Gerald Vega Yon,,SUPERINTENDENCIA DE PENSIONES,"SANTIAGO, Chile",11714
Pablo Javier Paredes Navarro,,UNIVERSIDAD ADOLFO IBÁÑEZ,"Santiago, Chile",11715
Susana Ramirez Hita,,UNIVERSIDAD DE TARAPACA,"ARICA, Chile",11716
Carlos Enrique Obreque Niñez,PROFESOR ASOCIADO,UNIVERSIDAD DEL BÍO-BÍO,"Concepción, Chile",11717
Angara Heydi Zambrano Alvarado,Assistant Professor,UNIVERSIDAD AUSTRAL DE CHILE,"Valdivia, Chile",11718
Luz María Méndez Beltrán,,UNIVERSIDAD DE CHILE,"Santiago, Chile",11719
Pablo Andrés Garcia Chevesich,Profesor Asociado,Universidad de Chile,"Santiago, Chile",11721
Gabriela Noe Echeverria,,INSTITUTO CHILENO DE MEDICINA REPRODUCTIVA,"Santiago, Chile",11722
Cristian Palma Ceppi,,HOSPITAL CLINICO UNIVERSIDAD DE CHILE,"Santiago, Chile",11723
Diego Reyes Osorio,,HOSPITAL CLINICO UNIVERSIDAD DE CHILE,"SANTIAGO, Chile",11724
Raul . Valdevenito Sepulveda,Chair,"UNIVERSIDAD DE CHILE, HOSPITAL CLINICO UNIVERSIDAD DE CHILE","Santiago, Chile",11725
Juan Pablo Hidalgo,,HOSPITAL CLINICO UNIVERSIDAD DE CHILE,"Santiago, Chile",11726
Alejandro José Mercado Campero,,HOSPITAL CLÍNICO UNIVERSIDAD DE CHILE,"santiago, Chile",11727
Jose Ignacio Vinay Barriga,,HOSPITAL CLÍNICO UNIVERSIDAD DE CHILE. SERVICIO DE UROLOGÍA,"Santiago, Chile",11728
Rosalba Todaro Cavallero,,CENTRO DE ESTUDIOS DE LA MUJER,"Santiago, Chile",11729
Marcelo Antonio Sarovic Urzua,Profesor Asistente Asociado,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11730
Jeannette Eileen Plaut Friedmann,,CORPORACIÓN LOMO,"Santiago, Chile",11731
Andrés Daniel Boltansky Brenner,,CLINICA DÁVILA,"Santiago, Chile",11732
Segio Álvarez Díaz,,CLÍNICA DÁVILA,"Santiago, Chile",11733
Mauricio Alfonso Lozano Vergara,Asistente de Investigación,Universidad de Los Andes,"Santiago, Chile",11734
Maritza Lorena Berti Díaz,,UNIVERSIDAD DE SANTIAGO DE CHILE,"Santiago, Chile",11735
Manuel Alberto Maiz Gurruchaga,,"DEPARTAMENTO NUTRICION, DIABETES Y METABOLISMO, ESCUELA DE MEDICINA, PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE","Santiago, Chile",11736
Carolina Jorquera,Academico,Universidad de Santiago de Chile,"Santiago, Chile",11738
Marcos Eduardo Gerding Paris,,BIOBICHOS LTDA.,"Chillán, Chile",11739
Marta Emilia Rodríguez Sanhueza,,BIOBICHOS LTDA.,"Chillán, Chile",11740
Alexis Marcelo Salas Burgos,Assistant Professor,UNIVERSIDAD DE CONCEPCIÓN,"Concepción, Chile",11741
Richard Lawrence Leboeuf,,UNIVERSIDAD DE LOS ANDES,"Santiago, Chile",11742
Daniel Guillermo Gálvez Arancibia,,UNIVERSIDAD MAYOR,"Santiago, Chile",11743
Aldo Jorge Tamburrino Tavantzis,Profesor Asociado,UNIVERSIDAD DE CHILE,"Santiago, Chile",11744
Santiago Rafael Montserrat Michelini,Investigador Asociado,Universidad de Chile,"Santiago, Chile",11745
giannina izquierdo copiz,,"UNIVERSIDAD DE CHILE, FACULTAD DE MEDICINA, DEPARTAMENTO DE PEDIATRÍA ORIENTE","Santiago, Chile",11746
Mirta Isabel Acuña Ávila,,HOSPITAL ROBERTO DEL RÍO,"Santiago, Chile",11747
Ana María Dávila Rodríguez,,UNIVERSIDAD DE SANTIAGO DE CHILE,"Santiago de Chile, Chile",11748
Maria Soledad Etchebarne Lopez,SubDirector,UNIVERSIDAD DE CHILE,"Santiago, Chile",11749
María Angélica Jiménez Allendes,,UNIVERSIDAD CENTRAL DE CHILE,"Santiago, Chile",11750
Paula Carolina Medina González,Investigadora,UNIVERSIDAD CENTRAL DE CHILE,"Santiago, Chile",11751
Lautaro Nuñez Atencio,,INSTITUO DE INVESTIGACIONE ANTROPOLÓGICAS Y MUSEO,"Antofagasta, Chile",11752
Maria Isabel Cartajena Fasting,,"UNIVERSIDAD DE CHILE, FACULTAD DE CIENCIAS SOCIALES, DEPARTAMENTO DE ANTROPOLOGÍA","Santiago, Chile",11753
Carlos Carrasco González,,COLEGIO DE ARQUEÓLOGOS DE CHILE,"Santiago, Chile",11754
Francisco Javier Rivera Amaro,Arqueólogo,"SurAndino, Estudios Arqueológicos y Patrimoniales Ltda.","Santiago, Chile",11755
Patricio Gonzalo López Mendoza,,"INSTITUTO DE INVESTIGACIONES ARQUEOLÓGICAS Y MUSEO, UNIVERSIDAD CATÓLICA DEL NORTE","San Pedro de Atacama, Chile",11756
Andrea Slachevsky Chonchol,Associate Professor,UNIVERSIDAD DE CHILE,"Chile, Chile",11757
Leonardo Enrique Figueroa Candia,Profesor Asistente,Universidad de Concepción,"Concepción, Chile",11758
IVAN MAURICIO OBANDO CAMINO,,UNIVERSIDAD DE TALCA,"Talca, Chile",11759
Facundo Las Heras Aliciardi,,HOSPITAL CLINICO UNIVERSIDAD DE CHILE - ANATOMIA PATOLOGICA,"Santiago, Chile",11760
Ramon Formas Cortes,,INSTITUTO DE CIENCIAS MARINAS Y LIMNOLÓGICAS,"Valdivia, Chile",11761
Maria Ofelia Ronco,Profesor Titular,UNIVERSIDAD DE TALCA,"Talca, Chile",11762
Jorge Alfredo Gironás León,Profesor Asociado,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11763
Ricardo Alberto Benavente Cresta,,ANEPE,"Santiago, Chile",11764
María Pía Von Chrismar Medina,,ANEPE,"Santiago, Chile",11765
Cristián Pedro Sepúlveda Soza,,COMISION CHILENA DE ENERGIA NUCLEAR,"SANTIAGO, Chile",11767
Héctor Segundo Monroy Díaz,,MINISTERIO OBRAS PÚBLICAS,"Santiago, Chile",11768
Rafael Gaune Corradi,,UNIVERSIDAD ANDRÉS BELLO,"Santiago, Chile",11769
Mariela Andrea Araya Ortega,,ANDES BIOTECHNOLOGIES Y FUNDACION CIENCIA PARA LA VIDA,"Santiago, Chile",11770
Juan Carlos Velez Gonzalez,,CORPORACIÓN DE REHABILITACIÓN CLUB DE LEONES CRUZ DEL SUR,"Punta Arenas, Chile",11771
Micah Rae Pepper,,CORPORACIÓN DE REHABILITACIÓN CLUB DE LEONES CRUZ DEL SUR,"Punta Arenas, Chile",11772
Clara Inés Barbosa Jabba,,CORPORACIÓN DE REHABILITACIÓN CLUB DE LEONES CRUZ DEL SUR,"Punta Arenas, Chile",11773
Susana Loaiza Miranda,,UNIVERSIDAD DE MAGALLANES,"PUNTA ARENAS, Chile",11774
Hugo Alberto Sanchez Reyes,Asesor,Servicio de Salud Metropolitano sur ,"SANTIAGO, Chile",11775
Juan Manuel Florez Uribe,Investigador,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,"VALPARAISO, Chile",11776
Francisca Andrea Alcayaga Miranda,Profesor Asociado,UNIVERSIDAD DE LOS ANDES,"Santiago, Chile",11777
Carlos Alberto Vallejos Vallejos,,"FACULTAD DE MEDICINA, UNIVERSIDAD DE LA FRONTERA","TEMUCO, Chile",11778
Marcela Alejandra Ruiz Zúñiga,Dirección de Departamento de Lengua y Literatura,UNIVERSIDAD ALBERTO HURTADO,"Santiago, Chile",11779
Luis Eduardo Briones Morales,,"DEPARTAMENTO DE ARQUEOLOGÍA Y MUSEOLOGÍA, UNIVERSIDAD DE TARAPACÁ","Arica, Chile",11780
Alejandro Isidoro Canales Ceron,,CORPORACIÓN CIEM ACONCAGUA,"San Felipe, Chile",11781
Nancy Lorena Luco Rojas,,UNIVERSIDAD PEDRO DE VALDIVIA,"SANTIAGO, Chile",11783
Domingo Del Rosario Espejo Arellano,,UNIVERSIDAD PEDRO DE VALDIVIA,"Santiago, Chile",11784
Carolina Andrea Molina Zúñiga,,UNIVERSIDAD PREDRO DE VALDIVIA,"Santiago, Chile",11785
Paola Lillo Molina,,MACROCAP,"Santiago, Chile",11786
Fernando Rannou Fuentes,PROFESOR TITULAR,UNIVERSIDAD DE SANTIAGO DE CHILE,"Santiago, Chile",11787
Jimena Paola Angulo Cortés,,UNIVERSIDAD TÉCNICA FEDERICO SANTA MARÍA,"Santiago, Chile",11788
Anamaria Garcia,,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,"Santiago, Chile",11789
Andrés Cáceres Milnes,,UNIVERSIDAD DE PLAYA ANCHA,"Valparaiso, Chile",11791
Norberto Flores Castro,,UNIVERSIDAD DE PLAYA ANCHA,"Valparaíso, Chile",11792
Patricio Zamora Navia,,UNIVERSIDAD ANDRÉS BELLO,"Viña del Mar, Chile",11793
Edmundo Acevedo Hinojosa,,UNIVERSIDAD DE CHILE. FACULTAD DE CS. AGRONÓMICAS,"Santiago, Chile",11794
Paola del Carmen Silva Candia,Profesor Asociado,UNIVERSIDAD DE CHILE. FACULTAD DE CS. AGRONÓMICAS,"Santiago, Chile",11795
Zaida Tamara Cabrera Muñoz,,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,"Valparaiso, Chile",11796
Magdalena Jara,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11798
Mauricio Antonio Arias Robles,Docencia (profesor hora),UNIVERSIDAD CATÓLICA DEL NORTE,"ANTOFAGASTA, Chile",11799
Mayeli Alvarez Silva,,UNIVERSIDAD TÉCNICA FEDERICO SANTA MARÍA,"Valparaíso, Chile",11800
Romina Francesca Zunino Pesce,,HOSPITAL CLINICO PUC,"Santiago, Chile",11803
Gabriel Faba Camilo,,HOSPITAL CLÍNICO P UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11804
Antonio Enea Romano Spagone,,UNIVERSIDAD DE VALPARAISO,"Valparaiso, Chile",11805
Paola Alejandra Yañez Corvalan,,INSTITUTO DE INVESTIGACIONES AGROPECUARIAS (INIA),"VILLA ALEGRE, Chile",11806
Marisol De Las Mecedes Reyes Muñoz,Investigador,INSTITUTO DE INVESTIGACIOONES AGROPECUARIAS CRI RAIHUEN,"Cauquenes, Chile",11807
Patricio Antonio Oyarce Vargas,Recién Titulado de Doctor,Pontificia Universidad Católica de Chile,"Santiago, Chile",11808
Monica Gandarillas Henriquez,Profesor Asociado ,Universidad Austral de Chile,"Valdivia , Chile",11809
Cristina Inés Dorador Ortiz,,UNIVERSIDAD DE ANTOFAGASTA,"Antofagasta, Chile",11810
Juan-Pablo Montero,Professor,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,"Santiago, Chile",11811
Jaime Couso Salas,Full Professor,Universidad Diego Portales,"Santiago, Chile",11812
Daniel Rodrigo Aguayo Villegas,Assistant Professor,UNIVERSIDAD ANDRES BELLO,"Santiago, Chile",11813
Rodrigo Alejandro Villanueva Arancibia,,"DEPARTAMENTO DE CIENCIAS BIOLOGICAS, FACULTAD DE CIENCIAS BIOLOGICAS, UNIVERSIDAD ANDRES BELLO","Santiago, Chile",11814
Rafael Riddell Carvajal,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11815
Guillermo Thenoux Zeballos,,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,"Santiago, Chile",11816
Gonzalo Rodrigo Sandoval Palma,,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,"Santiago, Chile",11817
Alejandra Tatiana Calabi Floody,ACADÉMICO DE PLANTA GRADO ASISTENTE,UNIVERSIDAD DE LA FRONTERA,"Temuco, Chile",11818
Romina Von Borries Conca,,PROGRAMA DE LAS NACIONES UNIDAS PARA EL DESARROLLO,"Santiago, Chile",11819
Francisco Vicente Herrera Díaz,profesor asistente,"UNIVERSIDAD DE SANTIAGO DE CHILE, USACH","Santiago, Chile",11820
Clemente Rubio Manzano,,UNIVERSIDAD DEL BÍO-BÍO,"Concepción, Chile",11821
Carolina Andrea Díaz Pardo,,AMAKAIK CONSULTORÍA AMBIENTAL CAROLINA DÍAZ E.I.R.L,"Santiago, Chile",11822
Jessica Lilian Gimpel Rivera,Médico Veterinario Institucional,Pontificia Universidad Catolica de Chile,"Santiago, Chile",11823
Ruben Osvaldo Bustos Cerda,FULL TIME PROFESOR,UNIVERSIDAD DE SANTIAGO DE CHILE,"Santiago, Chile",11824
Hernan Hernan Cofre Mardondes,,ILLINOIS INSTITUTE OF TECHNOLOGY,"chicago, Estados Unidos",11825
Claudia Andrea Vergara Diaz,Coordinacion ELAB transversal,UNIVERSIDAD ALBERTO HURTADO,"Santiago, Chile",11826
Angel Spotorno,,UNIVERSIDAD DE CHILE,"Santiago, Chile",11827
David Patricio Santibáñez Gómez,Coordinador de Prácticas y Vinculación con el Medio,Universidad Finis Terrae,"Santiago, Chile",11828
Cristian Basili Escobar,,UNIVERSIDAD DE VALPARAISO,"Valparaiso, Chile",11829
CARLOS GABRIEL OCAMPO ERCILLA,,FUNDACION CULTURAL Y CIENTIFICA WULAIA,"SANTIAGO, Chile",11830
Maria Luisa Orellana Campbell,,"VITAMINA, SALAS CUNAS Y JARDINES INFANTILES","Santiago, Chile",11831
Christian Paulo Matus Madrid,Profesor Adjunto,Pontificia Universidad Católica de Chile,"Santiago, Chile",11832
Catherine Fabiola Flores Aqueveque,,FUNDACIÓN PROHUMANA,"Santiago, Chile",11833
Eveyn Vicioso Moyano,,INMOBILIARIA ACONCAGUA,"Santiago, Chile",11834
Elizabeth Graciela Jiménez Cortes,,UNIVERSIDAD ARCIS,"Santiago, Chile",11835
Claudio Andres Briceño Olivera,ACADEMICO -INVESTIGADOR,UNIVERSIDAD DE LA FRONTERA,"TEMUCO, Chile",11836
Samuel Ernesto Hormazabal Fritz,Profesor Adjunto,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,"Valparaiso, Chile",11838
Alfonso Cruz Novoa,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11839
Mauricio Enrique Quilpatay Belmar,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11840
Cesar Antonio Aguilar,Profesor asistente,"FACULTAD DE LETRAS, PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE","Santiago, Chile",11841
Jorge Carlos Gana Leay,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11842
Fanisa Mino,,MIDEUC. PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11843
Juan MÖller Arias,,UNIVERSIDAD DE LA FRONTERA,"TEMUCO, Chile",11845
Pierre Guiraud,Profesor Adjunto,Universidad de Valparaíso,"Valparaiso, Chile",11846
Isabel Ximena González Ramírez,,CENTRO DE MEDIACIÓN UNIVERSIDAD CENTRAL DE CHILE,"Santiago, Chile",11847
Marcela Patricia Ferrer Lues,Académica,Universidad de Chile,"Santiago, Chile",11848
Giovanni Daneri Hermosilla,Executive Director,CENTRO DE INVESTIGACIÓN EN ECOSISTEMAS DE LA PATAGONIA,"Coyhaique, Chile",11849
Paulina Andrea Montero Reyes,Investigador,CENTRO DE INVESTIGACIÓN EN ECOSISTEMAS DE LA PATAGONIA,"Coyhaique, Chile",11850
Myrna Guadalupe Sandoval Paz,,UNIVERSIDAD DE CONCEPCION,"CONCEPCION, Chile",11851
Enrique Erasmo Montiel Eulefi,Profesor Asistente,UNIVERSIDAD DE LA FRONTERA,"Temuco, Chile",11852
Carolina Alejandra Muñoz Perez,,UNIVERSIDAD DE SANTIAGO,"santiago, Chile",11853
Constanza Acuña Fariña,,UNIVERSIDAD DE CHILE - FACULTAD DE ARTE,"Santiago, Chile",11854
Sandra Accatino Scagliotti,Directora Magíster en Estudios de la Imagen,UNIVERSIDAD ALBERTO HURTADO,"Santiago, Chile",11855
Carlos Cabezas Manríquez,,UNIVERSIDA CATÓLICA DEL MAULE,"Talca, Chile",11856
Antonio Andrés Puentes Gaete,,UNIVERSIDAD CATÓLICA DEL MAULE,"Talca, Chile",11857
Maria Alejandra Piederit Moreno,,UNIVERSIDAD SAN SEBASTIAN,"Concepcion, Chile",11858
Felipe Garcia Aguilar,,CENTRO NACIONAL DEL PATRIMONIO FOTOGRAFICO,"Santiago, Chile",11859
Paulo Rodrigo Alvarez Bravo,,CODEPU,"Santiago, Chile",11860
Vianka Hortuvia Atenas,,CENTRO NACIONAL DEL PATRIMONIO FOTOGRÁFICO,"Santiago, Chile",11861
Cristian Alejandro Quijada Pereira,,ECLASS,"chile, Chile",11862
Enrique Adalberto Werner Navarrete,Académico,UNIVERSIDAD DEL BIO-BIO,"Chillán, Chile",11863
Sandra Navarro Tapia,,MINISTERIO DE SALUD,"Santiago, Chile",11864
Maria Lina Boza,,HOSPITAL CLINICO SAN BORJA ARRIARAN,"santiago, Chile",11865
Claudia Blanco Vidal,,UNIVERSIDAD DEL DESARROLLO,"SANTIAGO, Chile",11867
Maria Laura Federico,,CENTRO DE GENOMICA NUTRICIONAL AGROACUICOLA,"Temuco, Chile",11868
RAFAEL ALEJANDRO RUBILAR PONS,Profesor Titular / Full Professor,FACULTAD DE CIENCIAS FORESTALES - UNIVERSIDAD DE CONCEPCIÓN,"Concepción, Chile",11869
Ana Maria Farias Molina,académico,UNIVERSIDAD AUSTRAL DE CHILE,"Puerto Montt, Chile",11870
Gastón Felipe Salamanca Gutiérrez,Miembro del claustro de Magíster y Doctorado en Lingüística,Universidad de Concepción,"Concepción, Chile",11871
Juan Héctor Painequeo Paillán,,UNIVERSIDAD DE LA FRONTERA,"Temuco, Chile",11872
Luis De La Barra Arroyo,,U. DE LA FRONTERA,"Temuco, Chile",11873
Gastón Vergara Díaz,,UNIVERSIDAD AUSTRAL DE CHILE,"Valdivia, Chile",11874
Claudia Pamela Lagos Serrano,,UNIVERSIDAD DIEGO PORTALES,"Santiago, Chile",11875
Isabel Miriana Torres Dujisin,,"UNIVERSIDAD DE CHILE, FACULTAD DE FILOSOFÍA Y HUMANIDADES, DEPARTAMENTO DE CIENCIAS HISTÓRICAS","Santiago, Chile",11876
Carla Milar Peñaloza Palma,,"UNIVERSIDAD DE CHILE, FACULTAD DE FILOSOFÍA Y HUMANIDADES, DEPARTAMENTO DE CIENCIAS HISTÓRICAS","ñuñoa, Chile",11877
Ulises Alejandro Cárcamo Sirguiado,,"UNIVERSIDAD DE CHILE, FACULTAD DE FILOSOFÍA Y HUMANIDADES, DEPARTAMENTO DE CIENCIAS HISTÓRICAS","Santiago, Chile",11878
María Elvira Saurina De Solanes,,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE-SISTEMA DE BIBLIOTECAS,"Santiago, Chile",11879
Luis Valladares Boasi,,INSTITUTO DE NUTRICIÓN Y TECNOLOGIA DE LOS ALIMENTOS,"Santiago, Chile",11880
Carola Alejandra Blazquez Lavin,PROFESSOR,UNIVERSIDAD ANDRÉS BELLO,"VIÑA DEL MAR, Chile",11881
René Alejandro Quilodran Perez,,"ESCUELA DE MEDICINA, UNIVERSIDAD DE VALPARAISO","Valparaiso, Chile",11882
Cristhian Eduardo Berríos Guíñez,Académico,UNIVERSIDAD DE SANTIAGO DE CHILE,"Santiago, Chile",11883
Susana Foxley Tapia,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11884
Rodrigo Manuel Moreno Del Canto,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11885
Jorge Iturriaga Echeverría,,UNIVERSIDAD  ALBERTO HURTADO,"Santiago, Chile",11886
Rolando Jose Biscay Lirio,,CIMFAV,"Valparaiso, Chile",11887
Juan Carlos Bustos Valenzuela,,HOSPITAL DIPRECA,"Santiago, Chile",11888
María Soledad Estrella Romero,Profesora Jerarquizada,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,"Valparaiso, Chile",11890
Mauricio Farias,,INSTITUTO DE NEUROCIRUGIA A. ASENJO,"Santiago, Chile",11891
Juan Idiaquez,,UNIVERDIDAD DE VALPARAISO,"Valparaiso, Chile",11892
Eduardo Francisco Bravo Castro,,INSTITUTO DE NEUROCIRUGIA DR. ASENJO,"SANTIAGO, Chile",11893
Patricia Inés Flores Morales,,CLÍNICA ALEMANA DE SANTIAGO S.A,"Santiago, Chile",11894
Marcos Alberto Muñoz Domon,Profesor Asociado,UNIVERSIDAD DE CONCEPCIÓN,"Chillán, Chile",11895
Alejandra Andrea Latorre Soto,Profesor Asociado,UNIVERSIDAD DE CONCEPCION,"Chillan, Chile",11896
walter manuel molina chavez,Investigador de planta,UNIVERSIDAD DE MAGALLANES,"PUNTA ARENAS, Chile",11897
Cath Collins,,UNIVERSIDAD DIEGO PORTALES FCSH,"SAN TIAGO, Chile",11898
Liliana Del Carmen Guerra Aburto,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11899
