Nombre Institución,Investigadores,Número de Reseñas Verificadas,Número de Publicaciones
Yuri Gagarin State Technical University of Saratov,594,1,508
Wroclaw University of Science and Technology,593,23,6.863
University of Lausanne,592,19,5.558
Tallinn University of Technology,591,13,3.472
Universidade do Algarve,591,34,12.517
Istituto Nazionale di Fisica Nucleare,591,10,3.098
Szeged University,588,8,3.615
Flinders University of South Australia,588,32,8.749
Princeton University,588,13,4.532
University of Witwatersrand,587,18,6.701
University of KwaZulu-Natal,585,13,4.297
Universite Claude Bernard Lyon 1,584,22,4.871
Universidad Pablo de Olavide,583,4,2.003
Universiti Tun Hussein Onn Malaysia,583,11,3.414
University of Connecticut,583,28,7.357
"Faculdade de Medicina de Ribeirão Preto da Universidade de São Paulo, FMRP-USP",583,4,1.919
Universidad Miguel Hernandez de Elche,582,22,5.858
Universitas Syiah Kuala,581,1,458
University of Milano-Bicocca,581,26,7.714
Alexandru Ioan Cuza University,581,16,4.062
University of Lleida,580,14,3.686
Bulgarian Academy of Sciences,580,13,3.734
Hunan University,580,21,5.868
Tarbiat Modares University,578,18,7.698
Universidade Federal de Mato Grosso do Sul,577,8,2.168
Louisiana State University,577,17,4.889
The Queen's University Belfast,575,25,6.908
Mashhad University of Medical Sciences,575,16,5.712
Florida State University,573,26,6.875
Universidade Federal de Mato Grosso (UFMT),573,1,1.020
Universidad de Guadalajara,573,3,1.304
Universidade Federal de Sergipe,571,3,924
"University of California, Santa Barbara",569,10,3.306
University of Parma,569,29,8.944
Universidad de Almería,568,24,6.893
Moscow Aviation Institute,568,-,191
East China University of Science & Technology,567,12,3.144
University of Mustansiriyah,566,16,4.660
Guilan University of Medical Sciences,566,4,751
Universidad Nacional de Colombia,566,7,3.643
NATIONAL UNIVERSITY OF LIFE AND ENVIRONMENTAL SCIENCES OF UKRAINE,566,-,70
National Aviation University,565,-,60
Kaohsiung Medical University,565,11,2.470
Politechnika Lubelska,564,12,3.379
Universite de Lille,563,13,3.665
Seoul National University College of Medicine,563,2,724
Lanzhou University,562,7,2.591
Stellenbosch University,562,14,4.694
University of Houston,561,20,5.498
"University of Tennessee, Knoxville",559,32,8.837
Marmara University,558,9,3.591
Forschungszentrum Jülich (Jülich Research Centre),556,24,5.102
Academia Sinica,556,6,2.750
Virginia Commonwealth University,556,32,10.698
"University of Nebraska, Lincoln",555,16,6.666
University of Munich (LMU),554,15,5.575
University of Pavia,552,36,9.958
Kharkiv National University of Radio Electronics,551,1,178
"Indian Institute of Technology, Roorkee",550,12,5.012
Dresden University of Technology,548,23,6.993
Shenzhen University,548,23,6.691
Constantine the Philosopher University in Nitra,548,-,515
"Mari State University, MarSU",547,1,223
Universidad Internacional de la Rioja (UNIR),546,6,2.030
University of Mosul,545,23,7.694
Pontifícia Universidade Católica do Rio de Janeiro,543,4,1.623
University of Tabriz,543,20,6.277
Hamadan University of Medical Sciences,542,3,1.898
Lancaster University,542,17,5.622
University of Texas M.D. Anderson Cancer Center,542,21,5.622
Wuhan University of Technology,541,11,3.663
Institut de Recherche pour le Developpement (IRD),541,6,2.817
Indian Institute of Technology (IIT) - Delhi,540,16,4.138
Universidad Autónoma de Nuevo León,539,4,1.870
University of Maryland,537,10,3.238
Boreskov Institute of Catalysis SB RAS,535,7,1.877
