Autor,Universidad,Correo,Intereses,Cant Citas
"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física …",Dirección de correo verificada de ucsc.cl,Exoplanets Stellar activity radial velocities M dwarfs ,Citado por 2912
Mario George-Nascimento,"Facultad de Ciencias, Universidad Católica de la Santísima Concepción",Dirección de correo verificada de ucsc.cl,Ecología del parasitismo ,Citado por 2536
Ivan A. Hinojosa,"Departamento de Ecología, Facultad de Ciencias, Universidad Católica de la Santísima …",Dirección de correo verificada de ucsc.cl,Marine Biology Ecology Biogeography Ecoacoustics Bioacoustics ,Citado por 2513
Danny Eugenio García Marrero,"Departamento de Química Ambiental, UCSC",Dirección de correo verificada de ucsc.cl,Química ,Citado por 2511
Patricio A. Camus,"Departmento de Ecologia, Facultad de Ciencias, Universidad Catolica de la Santisima …",Dirección de correo verificada de ucsc.cl,Marine ecology Biogeography ,Citado por 2424
Juan M. Cancino,Departamento de Ecología Universidad Católica de la Santísima Concepción,Dirección de correo verificada de ucsc.cl,Bryozoology ecophysiology reproductive ecology ,Citado por 2277
Ricardo Lizana,Universidad Catolica de la Santisima Concepción,Dirección de correo verificada de ucsc.cl,electronica de potencia ,Citado por 2217
Claudia Troncoso Pantoja,Universidad Católica de la Santísima Concepción,Dirección de correo verificada de ucsc.cl,Nutrición y Dietética Conductas alimentarias durante el curso de la … Nutrición gerontológica ,Citado por 1623
Sergio Contreras,Universidad Catolica de la Santisima Concepcion,Dirección de correo verificada de ucsc.cl,Biogeochemistry (paleo) environmental studies ,Citado por 1554
Jorge León Muñoz,"Facultad de Ciencias, Universidad Católica de la Santísima Concepción",Dirección de correo verificada de ucsc.cl,Hydrology Landscape Ecology Conservation Aquaculture ,Citado por 1282
Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",Dirección de correo verificada de alu.uct.cl,Derecho Público (Constitucional y Penal) ,Citado por 9460
Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",Dirección de correo verificada de uct.cl,Ecología acuática crustáceos / Aquatic Ecology crustaceans ,Citado por 1622
David Tempo,"Universidad Católica de Temuco (UCT), Temuco, Chile",Dirección de correo verificada de uct.cl,General Relativity Spacetime symmetries Black hole physics ,Citado por 1590
Fernando A. Peña Cortés,"Profesor Titular, Laboratorio de Planificación Territorial. Universidad Católica de Temuco",Dirección de correo verificada de uct.cl,geografía física planificación territorial educación geográfica ,Citado por 1502
Angélica Casanova-Katny,Universidad Católica de Temuco,Dirección de correo verificada de uct.cl,global climate change global warming antarctic plants moss lichens ,Citado por 1292
segundo quintriqueo millan,Universidad Católica de Temuco,Dirección de correo verificada de uct.cl,Educación interculturalidad saberes indígenas investigación en educación ,Citado por 1149
Elias Gustavo Figueroa Villalobos,Universidad Católica de Temuco,Dirección de correo verificada de uct.cl,Aquaculture ,Citado por 1122
Daniel San Martín Cantero,Universidad Católica de Temuco,Dirección de correo verificada de uct.cl,Teoría Fundamentada Socio-fenomenología Metodología Cualitativa Profesores principiantes vida cotidiana ,Citado por 889
